1,Miércoles 12,La Sirena Churchill,1,1,1,1,1,5
2,Miércoles 12,SM Bravo Churchill,1,1,1,1,1,5
3,Miércoles 12,JUMBO Agora Mall,1,1,1,1,1,5
,,,,,,,,
4,Jueves 13,SM Nacional 27 de Febrero,1,1,1,1,1,5
5,Jueves 13,Almacenes Unidos,2,1,1,,1,5
6,Jueves 13,SM Pola Sarasota,1,1,1,1,1,5
,,,,,,,,
7,Viernes 14,SM Pola Lope de Vega,1,1,,1,2,5
8,Viernes 14,SM Nacional Lope de Vega,1,1,1,,2,5
9,Viernes 14,La Sirena Galeria 360,1,1,1,1,1,5
,,,,,,,,
10,Sábado 15,SM Bravo Núñez de Cáceres,1,1,1,,2,5
11,Sábado 15,La Sirena Independencia ,1,1,1,1,1,5
,,,,,,,,
12,Miércoles 19,SM Nacional Arroyo Hondo ,1,1,1,,2,5
13,Miércoles 19,SM Nacional Tiradentes,1,1,1,1,1,5
14,Miércoles 19,SM Bravo La Esperilla,1,1,1,,2,5
,,,,,,,,
15,Jueves 20,JUMBO Luperón,1,1,1,1,1,5
16,Jueves 20,La Sirena Luperón ,2,,1,1,1,5
17,Jueves 20,SM Pola Rep. de Colombia,2,1,,1,1,5
,,,,,,,,
18,Viernes 21,La Sirena Churchill,1,1,1,,2,5
19,Viernes 21,SM Bravo Churchill,1,1,1,1,1,5
20,Viernes 21,JUMBO Agora Mall,1,1,,1,2,5
,,,,,,,,
21,Sábado 22,SM Nacional 27 de Febrero,1,1,1,1,1,5
22,Sábado 22,Almacenes Unidos,1,1,1,1,1,5
23,Sábado 22,SM Pola Sarasota,1,1,1,,2,5
,,,,,,,,
24,Miércoles 26,SM Pola Lope de Vega,1,1,1,1,1,5
25,Miércoles 26,SM Nacional Lope de Vega,1,1,1,,2,5
26,Miércoles 26,La Sirena Galeria 360,1,1,1,1,1,5
,,,,,,,,
27,Jueves 27,SM Bravo Núñez de Cáceres,1,1,1,,2,5
28,Jueves 27,La Sirena Independencia ,2,,1,1,1,5
29,Jueves 27,SM Bravo Los Frailes,2,,1,,2,5
,,,,,,,,
30,Viernes 28,SM Nacional Arroyo Hondo ,1,1,1,1,1,5
31,Viernes 28,SM Nacional Tiradentes,1,1,1,,2,5
32,Viernes 28,SM Bravo La Esperilla,1,1,1,,2,5
,,,,,,,,
33,Sábado 29,JUMBO Luperón,1,1,1,1,1,5
34,Sábado 29,La Sirena Luperón ,1,1,1,1,1,5
35,Sábado 29,SM Pola Rep. de Colombia,1,1,1,,2,5
,,,,,,,,
36,Miércoles 02,SM Nacional Paseo (Santiago),1,1,1,1,1,5
37,Miércoles 02,La Sirena El Embrujo,1,1,1,1,1,5
,,,,,,,,
38,Jueves 03,SM Bravo Santiago,1,1,1,1,1,5
39,Jueves 03,SM Playero Sosua ,1,1,1,1,1,5
,,,,,,,,
40,Viernes 04,SM Nacional Paseo (Santiago),1,1,1,,2,5
41,Viernes 04,La Sirena El Embrujo,2,,1,1,1,5
,,,,,,,,
42,Sábado 05,SM Bravo Santiago,1,1,1,1,1,5
43,Sábado 05,SM Playero Sosua ,2,,1,,2,5
,,,,,,,,
44,Miércoles 09,SM Bravo Núñez de Cáceres,1,1,1,1,1,5
45,Miércoles 09,SM Iberia (Higuey),1,1,1,1,1,5
,,,,,,,,
46,Jueves 10,SM Nacional 27 de Febrero,1,1,1,,2,5
47,Jueves 10,SM Iberia (Higuey),2,,1,,2,5
,,,,,,,,
48,Viernes 11,SM Pola Lope de Vega,1,1,,1,2,5
49,Viernes 11,SM Nacional Punta Cana,1,1,1,,2,5
,,,,,,,,
50,Sábado 12,SM Bravo Churchill,1,1,1,,2,5
51,Sábado 12,SM Bravo Los Frailes,1,1,1,1,1,5
,,,,,,,,
52,Jueves 17,La Sirena Luperón ,1,1,1,1,1,5
53,Jueves 17,SM Pola Sarasota,2,1,,,2,5
,,,,,,,,
54,Viernes 18,SM 100%,1,1,1,1,1,5
55,Viernes 18,SM Bravo Enriquillo,1,1,1,,2,5
56,Viernes 18,JUMBO Megacentro ,1,1,1,1,1,5
,,,,,,,,
57,Miércoles 23,SM Bravo Enriquillo,1,1,1,,2,5
58,Miércoles 23,SM Nacional Lope de Vega,1,1,1,,2,5
59,Miércoles 23,La Sirena Galeria 360,1,1,1,,2,5
,,,,,,,,
60,Jueves 24,SM 100%,2,,1,1,1,5
61,Jueves 24,SM Zaglul (SPM),1,1,1,1,1,5
,,,,,,,,
62,Viernes 25,SM Bravo Enriquillo,2,1,,,2,5
63,Viernes 25,JUMBO Megacentro ,1,1,1,1,1,5
,,,,,,,,
64,Sábado 26,SM Nacional Arroyo Hondo ,1,1,1,,2,5
65,Sábado 26,SM Zaglul (SPM),2,,1,1,1,5
,,,,,,,,
66,Miércoles 30,La Sirena Churchill,2,1,,,2,5
67,Miércoles 30,JUMBO Luperón,1,1,1,1,1,5
